Seed_ID,Name
rxn10263,anteisopentadecanoyl_CDPdiacylglycerol_sn_glycerol_3_phosphate_3_phosphatidyltransferase
rxn08814,Lysophospholipase_L1_2_acylglycerophosphoglycerol__n_C16_1_periplasm
rxn08845,Lysophospholipase_L2_2_acylglycerophosphoglycerol__n_C12_0
rxn01292,L_Arabinose_aldose_ketose_isomerase
rxn00300,GTP_7_8_8_9_dihydrolase_diphosphate_forming
rxn02380,beta_D_Glucose_6_phosphate_ketol_isomerase
rxn02026,serine_phosphoethanolamine_ethanolaminephosphohydrolase
rxn05417,6_methyl_heptanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn01844,Sphingomyelin_cholinephosphohydrolase
rxn10256,isopentadecanoyl_Diacylglycerol_kinase
rxn04781,R06972
rxn02975,CDP_3_6_dideoxy_D_glucose_2_epimerase
rxn03848,Biuret_amidohydrolase
rxn05348,Decanoyl_acyl_carrier_protein_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn05435,8_methyl_trans_dec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn00798,D_ribose_aldose_ketose_isomerase
rxn00907,5_10_methylenetetrahydrofolate_NADP_plus__oxidoreductase
rxn05458,Acyl_carrier_protein_acetyltransferase
rxn05229,NCAIR_synthetase_and_NCAIR_mutase
rxn08300,diacylglycerol_kinase_n_C18_1
rxn08297,diacylglycerol_kinase_n_C16_0
rxn00012,sucrose_sucrose_1_beta_D_fructosyltransferase
rxn07721,hydroxycinnamoyl_CoA_anthocyanidin_3_5_diglucoside_5_O_glucoside_6_O_hydroxycinnamoyltransferase
rxn10322,isopentadecanoyl_lipoteichoic_acid_synthesis_n24__unlinked__D_alanine_substituted
rxn05450,14_methyl_trans_pentadec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn12847,Gly_Try_aminopeptidase
rxn05410,4_methyl_3_oxo_pentanoyl_ACP_NADP_plus__oxidoreductase
rxn05443,13_methyl_trans_tetra_dec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn09114,Phosphatidylglycerol_synthase_n_C18_1
rxn02821,Acylneuraminyl_hydrolase
rxn05345,dodecanoyl_acyl_carrier_protein_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn04068,Glycocholate_amidohydrolase
rxn05422,10_methyl_3_oxo_undecanoyl_ACP_NADP_plus__oxidoreductase
rxn04457,R06605
rxn02170,L_3_Aminobutyryl_CoA_ammonia_lyase
rxn08844,Lysophospholipase_L2_2_acylglycerophosphoethanolamine__n_C18_1
rxn05385,5_methyl_3_oxo_hexanoyl_ACP_NADP_plus__oxidoreductase
rxn03095,Taurodeoxycholate_amidohydrolase
rxn02639,3alpha_7alpha_12alpha_trihydroxy_5beta_cholanoyl_CoA_propanoyl_CoA_C_acyltransferase
rxn03762,R05465
rxn01108,beta_D_Glucose_NAD_plus__1_oxoreductase
rxn10292,isoheptadecanoyl_lipoteichoic_acid_synthesis_n24__linked__unsubstituted
rxn07734,hydroxycinnamoyl_CoA_anthocyanidin_3_5_diglucoside_5_O_glucoside_6_O_hydroxycinnamoyltransferase
rxn12646,RXN0_6983c
rxn03869,Acylamide_aminohydrolase
rxn05448,10_methyl_trans_undec_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn05446,6_methyl_trans_hept_2_enoyl_ACP_NAD_plus__oxidoreductase_A_specific
rxn01414,CDP_choline_sphingosine_cholinephosphotransferase
rxn00020,cellobiose_glucohydrolase
rxn10291,stearoyl_lipoteichoic_acid_synthesis_n24__linked__unsubstituted
rxn00146,R_Lactate_ferricytochrome_c_2_oxidoreductase
rxn08839,Lysophospholipase_L2_2_acylglycerophosphoethanolamine__n_C14_0
rxn01454,acetyl_CoA_acetoacetyl_CoA_C_acetyltransferase_thioester_hydrolysing__carboxymethyl_forming
rxn05359,4_methyl_3_oxo_hexanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn00555,L_glutamine_D_fructose_6_phosphate_isomerase_deaminating
rxn03282,R04805
rxn12644,methionyl_aminopeptidase
rxn04723,R06914
rxn00777,D_ribose_5_phosphate_aldose_ketose_isomerase
rxn13784,RNA_transcription
rxn05327,Decanoyl_acyl_carrier_protein_malonyl_CoA_C_acyltransferasedecarboxylating__oxoacyl__and_enoyl_reducing
rxn04841,Glutathione__15_HPETE_oxidoreductase
rxn10302,anteisoheptadecanoyl_lipoteichoic_acid_synthesis_n24__linked__glucose_substituted
rxn04043,ADP_D_fructose_6_phosphate_1_phosphotransferase
rxn05122,R07413
rxn07261,R07384
rxn11684,farnesyl_diphosphate_farnesyl_diphosphate_farnesyltransferase_4_4_diapophytoene_forming
rxn07100,CDPethanolamine_1_alkyl_2_acylglycerol_ethanolaminephosphotransferase
rxn10264,isohexadecanoyl_CDPdiacylglycerol_sn_glycerol_3_phosphate_3_phosphatidyltransferase
rxn05371,8_methyl_decanoyl_ACP_malonyl_acyl_carrier_protein_C_acyltransferase_decarboxylating
rxn01119,UDP_galactose_undecaprenyl_phosphate_galactose_phosphotransferase
rxn00532,3_oxopropanoate_NADP_plus__oxidoreductase_CoA_malonylating
rxn04052,R05814
rxn08615,glycogen_synthase_ADPGlc
rxn08815,Lysophospholipase_L1_2_acylglycerophosphoglycerol__n_C18_0_periplasm
rxn12844,Gly_Cys_aminopeptidase
rxn08798,Lysophospholipase_L1_2_acylglycerophosphotidate__n_C14_1_periplasm
rxn02584,N_Methylhexanamide_amidohydrolase
rxn08821,Lysophospholipase_L2_2_acylglycerophosphotidate__n_C16_1
rxn06178,Acyl_CoA_sphingosine_N_acyltransferase
rxn01169,ATP_beta_D_glucose_6_phosphotransferase
rxn14301,L_arginine_taurine_amidinotransferase
rxn05389,7_methyl_3_oxo_octanoyl_ACP_NADP_plus__oxidoreductase
rxn04737,R06928
rxn02379,alpha_D_Hexose_1_phosphate_1_6_phosphomutase
