Enzyme,func_name,k1,k2
ENO,logistic,2.8696,6.2766
FDPA,logistic,3.5971,6.1339
GAPD,cubic,0.212,4.7383
LDH,logistic,4.5132,5.6809
PFK,logistic,3.591,5.7305
PGI,logistic,3.2329,5.9007
PGK,logistic,2.6758,5.1807
PGM,logistic,5.4667,5.0772
PYK,cubic,0.1545,4.6157
TPI,logistic,2.535,5.2638
