Time,Glucose(avg),Glucose(std),Lactic acid(avg),Lactic acid(std),Pyruvic acid(avg),Pyruvic acid(std),Succinic acid(avg),Succinic acid(std),Formic acid(avg),Formic acid(std),Acetic acid(avg),Acetic acid(std),Lysine(avg),Lysine(std),Histidine(avg),Histidine(std),Arginine(avg),Arginine(std),Glycine(avg),Glycine(std),Serine(avg),Serine(std),Asparagine(avg),Asparagine(std),Alanine(avg),Alanine(std),Aspartic acid(avg),Aspartic acid(std),Glutamine(avg),Glutamine(std),Threonine(avg),Threonine(std),Glutamic acid(avg),Glutamic acid(std),Proline(avg),Proline(std),Valine(avg),Valine(std),Methionine(avg),Methionine(std),Tyrosine(avg),Tyrosine(std),Isoleucine(avg),Isoleucine(std),Leucine(avg),Leucine(std),Phenylalanine(avg),Phenylalanine(std),Tryptophan(avg),Tryptophan(std)
0,31.801973333333333,1.3270527100642564,0.0,0.0,0.08153866666666666,0.013538132745036228,0.0,0.0,1.5712981389999998,0.020452881576431887,35.442010806666666,0.6207548359177887,0.032738666666666666,0.0006218195522461128,0.042861333333333335,0.0004750560200883902,0.047946666666666665,0.002038910384385627,0.24874666666666667,0.02310752450802312,0.18120000000000003,0.009097047139960667,0.12984,0.010471345026627032,0.9534933333333333,0.05419066914351791,0.03772,0.0015803999493799027,0.0005333333333333334,3.597530016861875e-05,0.15757333333333334,0.00562521308238384,0.11583199999999999,0.0054897373343357645,0.17354666666666665,0.007935025029716169,0.6309866666666667,0.01526726636376732,0.22197333333333333,0.0014957123906538953,0.5897333333333332,0.015497348877218407,0.5581866666666666,0.013766871669175843,1.66832,0.059060628735788635,1.08512,0.02846591411963906,0.25136,0.004038745679869787
2,27.439066666666665,1.1809711336391295,4.20256,0.12380387069877918,0.16141866666666665,0.004970914156928828,0.0,0.0,1.618400536,0.0862621232519247,44.02589919999999,0.61446285517688,0.03277066666666667,0.0014471280370290528,0.03880266666666666,0.0019903804214828455,0.04677333333333333,0.0013581687016796615,0.23482666666666668,0.01976894084725385,0.15594666666666665,0.007653658529676443,0.10450666666666666,0.0030542356745273547,0.9057066666666665,0.012446850561041084,0.032448,0.0008307939977314898,0.0,0.0,0.14453333333333332,0.00523916872117027,0.09963733333333334,0.002469451401065073,0.16648,0.012400946200458516,0.6367733333333333,0.010834086127690731,0.2327733333333333,0.005658865218005788,0.57408,0.025294932298782706,0.5607199999999999,0.01800349595680425,1.63592,0.07234551172440952,1.0719199999999998,0.017989270876460395,0.26069333333333333,0.004098173034685365
4,20.5772,0.8269222048052655,17.709973333333334,0.42898028714097797,0.4368106666666667,0.005295703247812243,0.07909333333333333,0.0013150749873000519,1.4783784489999998,0.0587340972323643,36.01922735666667,2.9968751010409402,0.039053333333333336,0.000383629450844895,0.026880000000000005,0.00011142710621747321,0.07727999999999999,0.000741889479639652,0.24072,0.016731415560754775,0.1399466666666667,0.001425607083159856,0.07744,0.0033985094772071315,1.0322933333333333,0.023298213570047657,0.03379466666666667,0.0005696064918481473,0.00088,0.00010910545357588682,0.17776,0.005561007103034489,0.12031466666666667,0.0029220729323927263,0.16474666666666668,0.0037988536282527333,0.6563733333333334,0.008598997357573497,0.21359999999999998,0.0017971829808527255,0.5310933333333334,0.021950181978491433,0.5789599999999999,0.020015140935468523,1.548,0.06549165035839816,0.9830933333333334,0.019173908197223564,0.24845333333333336,0.003387401495082742
6,15.836346666666666,0.5149916776889588,40.312079999999995,0.5002023313287037,0.584152,0.03811419025332515,0.21298666666666666,0.004321645777041678,1.2634270403333332,0.026714487713290554,39.822605833333334,0.2393018296022769,0.043904000000000006,0.000648246866556251,0.020445333333333333,0.0019575476721880583,0.06922666666666667,0.002835458026884233,0.27410666666666667,0.004334953543259968,0.031626666666666664,0.0012971078940816317,0.04517333333333332,0.0018432820969371143,1.01736,0.015572420064545785,0.021490666666666665,0.0005604696443360894,0.0013386666666666666,0.00016425454500730116,0.13997333333333334,0.011506349937703471,0.1378986666666667,0.0039790187511775,0.17184,0.01551931269955813,0.6584000000000001,0.027700570391239274,0.18805333333333338,0.007728826272827942,0.5340266666666666,0.009240913855722746,0.6005333333333333,0.021495682253781886,1.5398666666666667,0.07636729026371324,0.96304,0.02256633480799807,0.24781333333333336,0.004458200932613478
8,16.124346666666668,1.1455304733712768,63.108986666666674,1.332208970728274,0.6806533333333333,0.03645288602505372,0.30144,0.007775242761483393,0.9249977550666666,0.03318239461356131,43.55364860666667,0.5948865465328762,0.051605333333333336,0.0004006039884418961,0.019933333333333334,0.0020526648262414607,0.09048,0.001175755076535923,0.33285333333333333,0.015171107042298826,0.01856266666666667,0.0007521796475724566,0.04629333333333333,0.001057964502660126,1.1045599999999998,0.007858753081755439,0.016981333333333334,0.00018674284160012373,0.003264,4.283300907789068e-05,0.12245333333333333,0.006665279855756657,0.16780533333333333,0.009315899145487187,0.18773333333333334,0.002872830582466629,0.69,0.005619394985227515,0.1849333333333333,0.0029301801233977886,0.4949066666666666,0.020369842632894573,0.5908,0.016650893869899767,1.6064533333333335,0.09071624526817426,0.9492800000000001,0.03269668280830132,0.25144000000000005,0.00418912878770754
10,17.21165333333333,0.410812592255344,68.42271999999998,0.8464541557973879,0.6444773333333333,0.02646539321873421,0.29037333333333326,0.015116730981120078,0.47839894273333333,0.008234340330206867,36.01637063333334,0.7444844215651205,0.060373333333333334,0.0014207353338637303,0.02479733333333333,0.0007474567248714517,0.12712,0.003599703691509449,0.38570666666666664,0.004283466923986795,0.017773333333333332,0.0007086613358219062,0.04469333333333333,0.003941618392939068,1.1892266666666667,0.06650851641373125,0.017893333333333334,0.00027413540855245587,0.0043040000000000005,0.0003273815307354196,0.11442666666666666,0.003952967942642032,0.19113066666666667,0.005044477728720344,0.20288,0.012530325880306016,0.6923466666666667,0.005506004802839257,0.17472,0.004643217275410082,0.45258666666666664,0.011073636359490156,0.5665333333333333,0.017248531016356813,1.5518666666666667,0.06032789809772007,0.8540533333333333,0.007055236038259454,0.2272266666666667,0.0025131830193777837
12,18.164826666666663,0.5808162066915447,81.35647999999999,0.8837971700942798,0.7652026666666667,0.028391177095867075,0.32480000000000003,0.012468883938294838,0.6699962343333333,0.03371832376166185,37.19240304666667,0.2619116889437203,0.028679999999999997,0.0006337023486359084,0.013469333333333333,0.0002533473680322904,0.1338933333333333,0.0027359012327851915,0.4196533333333334,0.014000736488564515,0.009933333333333334,0.00047131400243244256,0.04528,0.0024273991568480595,1.1433866666666666,0.02380510496137794,0.010904000000000002,9.754315284358293e-05,0.004026666666666666,0.00044462218668088184,0.10871999999999998,0.0012462209541917728,0.136728,0.003820288296276434,0.2016,0.0027812706928069153,0.71848,0.026041443892380448,0.18405333333333337,0.005010637573092759,0.43832,0.01591618044632569,0.57896,0.013262156687356695,1.52984,0.02616061161364548,0.8649866666666667,0.007715565796204134,0.21173333333333336,0.0030388301842796126
14,18.496,1.0955127695589233,94.25125333333334,2.2907972330658595,0.7948133333333334,0.05351604184001486,0.2890933333333333,0.10162562056664431,0.7133968426666667,0.02651372091867975,45.25266059666666,0.4574994228179836,0.06134666666666667,0.0005691568813214484,0.025146666666666664,0.0008370700222933695,0.11434666666666665,0.005036542023606635,0.39829333333333333,0.014980924166715771,0.017232,0.001047501153539539,0.03653333333333334,0.0022307746536922046,1.0831199999999999,0.035496268348471076,0.01912,0.0001555377767617884,0.0062826666666666664,3.351948023993746e-05,0.09834666666666665,0.0025552734143770676,0.21261866666666665,0.0062598465014904485,0.21885333333333332,0.004069965874822807,0.7571466666666666,0.008418983839448129,0.1953066666666667,0.005967497148907755,0.4976,0.01443329484213498,0.64816,0.01434716232105387,1.7095999999999998,0.054552061983637816,0.9433333333333334,0.0068955895727309344,0.22104,0.011888190218307686
